target_id,C_1,C_2,C_3,S_1,S_2,S_3,M_1,M_2,M_3,H_1,H_2,H_3,SM_1,SM_2,SM_3,SH_1,SH_2,SH_3,MH_1,MH_2,MH_3,SMH_1,SMH_2,SMH_3
AT1G01110.2,61.58811365,71.69123876,80.50461119,51.48415352,62.65449042,70.64029589,70.62806906,54.1932362,42.25036539,75.24582257,53.44560631,63.23039775,26.90646435,40.01550768,27.48055284,66.26849459,51.98616331,65.18837134,47.02251268,54.92868142,57.85883887,22.47956546,51.72743054,59.12188972
AT1G01120.1,1439.622156,1435.736542,1599.358276,1243.45423,1600.344357,1923.434342,1418.137281,1348.508361,1151.920339,1164.474986,1744.681996,1431.982537,1052.715418,1178.993495,1293.54888,903.5656644,1199.072158,1518.387603,1239.963215,1199.692337,1410.186615,1138.283451,1196.477959,1268.755753
AT1G01130.1,28.86942827,19.11766367,22.54129113,32.45740113,20.1768698,18.16464751,18.58633396,25.2901769,23.11812446,9.176319826,16.30543921,11.15830549,18.49819424,23.42371181,17.66606969,11.57068953,14.6917418,13.03767427,14.31119951,6.241895616,8.825924573,11.23978273,8.996074876,17.73656691
AT1G01140.3,1596.479383,1666.104389,1540.321561,1514.305646,1591.848833,1499.592567,1276.881143,1295.218345,1206.128355,2624.42747,5078.238458,3471.162865,1367.18472,1396.638817,1406.415437,1822.909542,2461.431819,3315.580856,1763.344226,1815.143245,1775.972156,1804.496027,2559.383302,2647.478221
AT1G01150.1,0.962314276,1.911766367,2.146789632,1.119220729,4.247762062,0,0,0.903220603,3.188706822,0.917631983,0,0,0,0.975987992,2.944344948,0,1.130133985,0,0,0,0,0,0,0
AT1G01160.2,518.6873946,409.1180025,383.2019493,414.1116696,434.3336709,432.9240991,394.9595967,457.9328459,433.6641278,748.7876978,814.366103,735.5183033,443.9566618,423.5787886,434.7816039,748.939177,735.7172242,757.1880056,753.3824315,821.4334631,781.5846539,726.4986836,717.4369714,711.8275522
AT1G01170.1,781.3991919,814.4124723,865.1562216,701.7513969,844.2427099,694.2931939,653.3096388,596.1255982,479.1032,1026.830189,1462.960241,1087.934785,563.3540974,601.2086032,574.1472648,1085.541054,994.5179067,1160.35301,932.2724254,925.0489303,954.1805122,971.7303068,1048.042723,864.3620276
AT1G01180.1,226.1438548,244.706095,279.0826521,170.1215508,180.5298876,211.9208877,223.9653242,235.7405775,227.1953611,132.1390055,153.0899571,132.969807,230.386601,239.1170581,285.6014599,131.4851083,111.8832645,154.4462952,129.8230241,119.8443958,110.8143863,111.3760289,109.0774079,112.3315905
AT1G01190.2,128.9501129,58.30887419,158.8624327,50.36493279,50.97314475,39.35673628,133.8216045,130.9669875,72.5430802,28.44659146,13.58786601,29.7554813,51.29044767,72.22311143,59.86834727,68.37225633,47.46562737,47.13620697,42.93359854,19.97406597,55.8975223,11.23978273,20.24116847,18.91900471
AT1G01200.1,39.4548853,31.54414506,38.64221337,22.38441457,23.36269134,21.19208877,23.23291745,34.32238293,25.50965457,11.01158379,8.152719607,13.94788186,19.33902125,18.54377185,17.66606969,6.311285199,7.910937894,5.014490103,6.133371219,6.241895616,12.74855772,5.108992149,5.622546798,8.27706456
AT1G01210.1,65.2893224,71.07919845,68.53676058,70.70899807,80.49857285,57.68315546,76.59389233,90.35623625,97.92415788,161.0296124,192.8712997,160.5998968,64.24358012,61.91045954,71.70250506,174.2454496,197.2166902,189.6137474,162.049923,176.0914589,186.8815829,139.4272876,159.1847826,163.9123727
AT1G01220.1,666.8837931,723.6035699,762.1103193,655.863347,672.2083464,716.4944297,645.8751052,678.3186732,675.2086695,524.8854941,452.9288671,594.1797671,681.9107059,717.3511743,676.2178896,510.1622203,561.6765905,564.6315856,436.4915851,441.9262096,494.2517761,473.092673,434.0606128,538.0091964
AT1G01225.1,67.3619993,67.86770603,63.33029413,50.36493279,81.7694197,69.6311488,65.05216887,62.32222163,56.59954609,38.54054327,38.95188257,33.47491646,47.92713963,57.58329154,41.22082927,51.54216246,44.07522541,34.0985327,38.84468439,18.72568685,36.28435658,34.74114662,34.85979015,23.64875589
AT1G01230.1,455.1746524,398.6032875,431.504716,414.1116696,476.8112915,434.9423932,464.6583491,440.7716545,417.7205937,289.9717065,381.3661061,331.9595882,464.9773371,473.3541762,442.6331905,289.2672383,324.3484537,373.0780637,320.9797605,309.5980225,304.9847269,290.1907541,333.9792798,283.7850706
AT1G01240.1,844.9119341,894.7066597,943.5140431,1183.01631,1121.409184,1108.043498,960.9134658,830.9629551,861.7480186,493.6860066,540.7970673,499.3341705,1088.870979,1002.339668,971.6338327,573.2750723,659.9982472,608.7590985,462.0472985,551.7835724,460.9093944,474.1144715,579.1223202,535.6443208
AT1G01250.1,51.00265661,82.20595378,39.71560819,111.9220729,79.64553867,89.81409049,92.00235311,70.45120707,102.0386183,75.24582257,66.12761459,64.16025654,139.5772838,92.71885926,97.16338327,80.99482673,82.4997809,72.20865749,98.13393951,114.8508793,73.54937144,113.4196257,85.46271132,133.6154708
AT1G01260.1,230.9554262,264.7796418,275.8624677,211.5327177,237.8746755,219.9940643,243.4809749,253.8049896,232.775598,223.9022038,229.1820067,279.8874959,175.7328453,181.5337666,187.4566283,274.5409062,250.8897446,232.6723408,285.2017617,242.1855499,308.9073601,227.8610499,251.8900965,242.3997478
AT1G01280.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01290.1,198.2367408,221.7648986,197.5046461,242.8708981,230.4410919,237.1495648,190.5099231,195.9988709,204.8744133,287.2188106,297.1213368,327.3102943,200.9576556,214.7173583,193.3453182,339.7575199,297.225238,300.8694062,326.0909032,353.2912919,299.1007772,354.5640552,333.9792798,320.4406423
AT1G01300.1,1088.377446,1116.471558,1051.92692,847.2500916,878.2248064,841.6286681,1071.502153,1202.186623,1021.18336,666.2008194,468.3284485,560.7048507,751.6993478,952.5642804,907.8396922,695.2932528,534.5533749,577.6692599,825.9606576,559.2738472,739.4163476,533.3787804,474.5429497,498.9887492
AT1G01305.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01310.1,0,0,0,0,0,0,0.929316698,0,0.797176705,2.752895948,0,4.649293952,0,0.975987992,0.981448316,1.051880867,0,1.002898021,1.022228537,3.74513737,0.980658286,0,0,0
AT1G01320.1,5412.055487,5970.446364,6394.212918,5274.887294,5188.641359,5328.296604,5837.967497,6240.351149,5437.542308,4986.412193,3750.251019,5310.423553,5910.17306,5958.406693,6304.823981,5362.488658,5654.060326,5576.112995,5369.766503,5559.032236,5864.33655,5941.75787,5839.577104,5868.438773
AT1G01335.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01340.2,114.5153988,68.82358921,69.77066303,69.39168518,62.65449042,75.68603131,181.2167561,244.7727835,291.7666742,22.94079957,32.61087843,29.7554813,207.6842717,196.1735864,204.1412497,15.778213,10.17120586,25.07245052,23.51125634,26.21596159,36.28435658,35.76294504,42.73135566,24.83119368
